QTR,TypeOfEntry,ProductClass1,ProductClass2,ProductClass3,Amount,QTY
2014Q01,EXPENSES,Adminstrative,Insurance,,7800000,
2014Q01,EXPENSES,Adminstrative,Meals and entertainment,,180000,
2014Q01,EXPENSES,Adminstrative,Outside services,,9e+06,
2014Q01,EXPENSES,Adminstrative,Rent,,60000,
2014Q01,EXPENSES,Adminstrative,Repairs and maintence,,4800000,
2014Q01,EXPENSES,Adminstrative,Supplies,,240000,
2014Q01,EXPENSES,Adminstrative,Telephone,,6e+06,
2014Q01,EXPENSES,Adminstrative,Utilities,,11400000,
2014Q01,EXPENSES,Adminstrative,Wages and salaries,,1.8e+07,
2014Q01,EXPENSES,Adminstrative,Web site consultancy,,240000,
2014Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,,120000,
2014Q01,EXPENSES,Adminstrative,Web site maintence,,2400,
2014Q01,EXPENSES,Development,Patents,,36000,
2014Q01,EXPENSES,Development,Technology Rental,,180000,
2014Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,144000,
2014Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,14400000,
2014Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,240000,
2014Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,18000,
2014Q01,Non-Operation Income,Gifts and Dotions,,,12000,
2014Q01,Non-Operation Income,Interest,,,36000,
2014Q01,Non-Operation Income,Other Income,,,420,
2014Q01,Non-Operation Income,Rental,,,480000,
2014Q01,Sales Revenue,Hot Blanket,,,10182,20000
2014Q01,Sales Revenue,Kitty Box,,,38182.5,30000
2014Q01,Sales Revenue,Maxi Dog,,,50910,20000
2014Q01,Sales Revenue,Muis Huis,,,152730,5000
2014Q01,Sales Revenue,Water Jug,,,254.55,2e+05
2013Q04,Cost of Sales,Hot Blanket,,,1293,12000
2013Q04,Cost of Sales,Kitty Box,,,8620,30000
2013Q04,Cost of Sales,Maxi Dog,,,15085,15000
2013Q04,Cost of Sales,Muis Huis,,,12930,4000
2013Q04,Cost of Sales,Water Jug,,,86.2,180000
2013Q04,EXPENSES,Adminstrative,Depreciation,,9.9e+07,
2013Q04,EXPENSES,Adminstrative,Insurance,,21450000,
2013Q04,EXPENSES,Adminstrative,Meals and entertainment,,495000,
2013Q04,EXPENSES,Adminstrative,Outside services,,24750000,
2013Q04,EXPENSES,Adminstrative,Rent,,165000,
2013Q04,EXPENSES,Adminstrative,Repairs and maintence,,13200000,
2013Q04,EXPENSES,Adminstrative,Supplies,,660000,
2013Q04,EXPENSES,Adminstrative,Telephone,,16500000,
2013Q04,EXPENSES,Adminstrative,Utilities,,31350000,
2013Q04,EXPENSES,Adminstrative,Wages and salaries,,49500000,
2013Q04,EXPENSES,Adminstrative,Web site consultancy,,660000,
2013Q04,EXPENSES,Adminstrative,Web site launch and Web Hosting,,330000,
2013Q04,EXPENSES,Adminstrative,Web site maintence,,6600,
2013Q04,EXPENSES,Development,Patents,,99000,
2013Q04,EXPENSES,Development,Technology Rental,,495000,
2013Q04,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,396000,
2013Q04,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,39600000,
2013Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,660000,
2013Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,49500,
2013Q04,Non-Operation Income,Gifts and Dotions,,,33000,
2013Q04,Non-Operation Income,Interest,,,99000,
2013Q04,Non-Operation Income,Other Income,,,1155,
2013Q04,Non-Operation Income,Rental,,,1320000,
2013Q04,Sales Revenue,Hot Blanket,,,28000,20000
2013Q04,Sales Revenue,Kitty Box,,,105000,30000
2013Q04,Sales Revenue,Maxi Dog,,,140000,20000
2013Q04,Sales Revenue,Muis Huis,,,420000,5000
2013Q04,Sales Revenue,Water Jug,,,700,2e+05
2013Q03,Cost of Sales,Hot Blanket,,,2892.6,12000
2013Q03,Cost of Sales,Kitty Box,,,19284,30000
2013Q03,Cost of Sales,Maxi Dog,,,33747,15000
2013Q03,Cost of Sales,Muis Huis,,,28926,4000
2013Q03,Cost of Sales,Water Jug,,,192.84,180000
2013Q03,EXPENSES,Adminstrative,Depreciation,,7.5e+07,
2013Q03,EXPENSES,Adminstrative,Insurance,,16250000,
2013Q03,EXPENSES,Adminstrative,Meals and entertainment,,375000,
2013Q03,EXPENSES,Adminstrative,Outside services,,18750000,
2013Q03,EXPENSES,Adminstrative,Rent,,125000,
2013Q03,EXPENSES,Adminstrative,Repairs and maintence,,1e+07,
2013Q03,EXPENSES,Adminstrative,Supplies,,5e+05,
2013Q03,EXPENSES,Adminstrative,Telephone,,12500000,
2013Q03,EXPENSES,Adminstrative,Utilities,,23750000,
2013Q03,EXPENSES,Adminstrative,Wages and salaries,,37500000,
2013Q03,EXPENSES,Adminstrative,Web site consultancy,,5e+05,
2013Q03,EXPENSES,Adminstrative,Web site launch and Web Hosting,,250000,
2013Q03,EXPENSES,Adminstrative,Web site maintence,,5000,
2013Q03,EXPENSES,Development,Patents,,75000,
2013Q03,EXPENSES,Development,Technology Rental,,375000,
2013Q03,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,3e+05,
2013Q03,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,3e+07,
2013Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,5e+05,
2013Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,37500,
2013Q03,Non-Operation Income,Gifts and Dotions,,,25000,
2013Q03,Non-Operation Income,Interest,,,75000,
2013Q03,Non-Operation Income,Other Income,,,875,
2013Q03,Non-Operation Income,Rental,,,1e+06,
2013Q03,Sales Revenue,Hot Blanket,,,13004,20000
2013Q03,Sales Revenue,Kitty Box,,,48765,30000
2013Q03,Sales Revenue,Maxi Dog,,,65020,20000
2013Q03,Sales Revenue,Muis Huis,,,195060,5000
2013Q03,Sales Revenue,Water Jug,,,325.1,2e+05
2013Q02,Cost of Sales,Hot Blanket,,,1185.6,12000
2013Q02,Cost of Sales,Kitty Box,,,7904,30000
2013Q02,Cost of Sales,Maxi Dog,,,13832,15000
2013Q02,Cost of Sales,Muis Huis,,,11856,4000
2013Q02,Cost of Sales,Water Jug,,,79.04,180000
2013Q02,EXPENSES,Adminstrative,Depreciation,,3e+07,
2013Q02,EXPENSES,Adminstrative,Insurance,,6500000,
2013Q02,EXPENSES,Adminstrative,Meals and entertainment,,150000,
2013Q02,EXPENSES,Adminstrative,Outside services,,7500000,
2013Q02,EXPENSES,Adminstrative,Rent,,50000,
2013Q02,EXPENSES,Adminstrative,Repairs and maintence,,4e+06,
2013Q02,EXPENSES,Adminstrative,Supplies,,2e+05,
2013Q02,EXPENSES,Adminstrative,Telephone,,5e+06,
2013Q02,EXPENSES,Adminstrative,Utilities,,9500000,
2013Q02,EXPENSES,Adminstrative,Wages and salaries,,1.5e+07,
2013Q02,EXPENSES,Adminstrative,Web site consultancy,,2e+05,
2013Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,,1e+05,
2013Q02,EXPENSES,Adminstrative,Web site maintence,,2000,
2013Q02,EXPENSES,Development,Patents,,30000,
2013Q02,EXPENSES,Development,Technology Rental,,150000,
2013Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,120000,
2013Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,1.2e+07,
2013Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,2e+05,
2013Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,15000,
2013Q02,Non-Operation Income,Gifts and Dotions,,,10000,
2013Q02,Non-Operation Income,Interest,,,30000,
2013Q02,Non-Operation Income,Other Income,,,350,
2013Q02,Non-Operation Income,Rental,,,4e+05,
2013Q02,Sales Revenue,Hot Blanket,,,25716,20000
2013Q02,Sales Revenue,Kitty Box,,,96435,30000
2013Q02,Sales Revenue,Maxi Dog,,,128580,20000
2013Q02,Sales Revenue,Muis Huis,,,385740,5000
2013Q02,Sales Revenue,Water Jug,,,642.9,2e+05
2013Q01,Cost of Sales,Hot Blanket,,,83.1,12000
2013Q01,Cost of Sales,Kitty Box,,,554,30000
2013Q01,Cost of Sales,Maxi Dog,,,969.5,15000
2013Q01,Cost of Sales,Muis Huis,,,831,4000
2013Q01,Cost of Sales,Water Jug,,,5.54,180000
2013Q01,EXPENSES,Adminstrative,Depreciation,,9e+06,
2013Q01,EXPENSES,Adminstrative,Insurance,,1950000,
2013Q01,EXPENSES,Adminstrative,Meals and entertainment,,45000,
2013Q01,EXPENSES,Adminstrative,Outside services,,2250000,
2013Q01,EXPENSES,Adminstrative,Rent,,15000,
2013Q01,EXPENSES,Adminstrative,Repairs and maintence,,1200000,
2013Q01,EXPENSES,Adminstrative,Supplies,,60000,
2013Q01,EXPENSES,Adminstrative,Telephone,,1500000,
2013Q01,EXPENSES,Adminstrative,Utilities,,2850000,
2013Q01,EXPENSES,Adminstrative,Wages and salaries,,4500000,
2013Q01,EXPENSES,Adminstrative,Web site consultancy,,60000,
2013Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,,30000,
2013Q01,EXPENSES,Adminstrative,Web site maintence,,600,
2013Q01,EXPENSES,Development,Patents,,9000,
2013Q01,EXPENSES,Development,Technology Rental,,45000,
2013Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,36000,
2013Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,3600000,
2013Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,60000,
2013Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,4500,
2013Q01,Non-Operation Income,Gifts and Dotions,,,3000,
2013Q01,Non-Operation Income,Interest,,,9000,
2013Q01,Non-Operation Income,Other Income,,,105,
2013Q01,Non-Operation Income,Rental,,,120000,
2013Q01,Sales Revenue,Hot Blanket,,,22728,20000
2013Q01,Sales Revenue,Kitty Box,,,85230,30000
2013Q01,Sales Revenue,Maxi Dog,,,113640,20000
2013Q01,Sales Revenue,Muis Huis,,,340920,5000
2013Q01,Sales Revenue,Water Jug,,,568.2,2e+05
2012Q04,Cost of Sales,Hot Blanket,,,1397.4,12000
2012Q04,Cost of Sales,Kitty Box,,,9316,30000
2012Q04,Cost of Sales,Maxi Dog,,,16303,15000
2012Q04,Cost of Sales,Muis Huis,,,13974,4000
2012Q04,Cost of Sales,Water Jug,,,93.16,180000
2012Q04,EXPENSES,Adminstrative,Depreciation,,2.1e+07,
2012Q04,EXPENSES,Adminstrative,Insurance,,4550000,
2012Q04,EXPENSES,Adminstrative,Meals and entertainment,,105000,
2012Q04,EXPENSES,Adminstrative,Outside services,,5250000,
2012Q04,EXPENSES,Adminstrative,Rent,,35000,
2012Q04,EXPENSES,Adminstrative,Repairs and maintence,,2800000,
2012Q04,EXPENSES,Adminstrative,Supplies,,140000,
2012Q04,EXPENSES,Adminstrative,Telephone,,3500000,
2012Q04,EXPENSES,Adminstrative,Utilities,,6650000,
2012Q04,EXPENSES,Adminstrative,Wages and salaries,,10500000,
2012Q04,EXPENSES,Adminstrative,Web site consultancy,,140000,
2012Q04,EXPENSES,Adminstrative,Web site launch and Web Hosting,,70000,
2012Q04,EXPENSES,Adminstrative,Web site maintence,,1400,
2012Q04,EXPENSES,Development,Patents,,21000,
2012Q04,EXPENSES,Development,Technology Rental,,105000,
2012Q04,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,84000,
2012Q04,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,8400000,
2012Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,140000,
2012Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,10500,
2012Q04,Non-Operation Income,Gifts and Dotions,,,7000,
2012Q04,Non-Operation Income,Interest,,,21000,
2012Q04,Non-Operation Income,Other Income,,,245,
2012Q04,Non-Operation Income,Rental,,,280000,
2012Q04,Sales Revenue,Hot Blanket,,,20202,20000
2012Q04,Sales Revenue,Kitty Box,,,75757.5,30000
2012Q04,Sales Revenue,Maxi Dog,,,101010,20000
2012Q04,Sales Revenue,Muis Huis,,,303030,5000
2012Q04,Sales Revenue,Water Jug,,,505.05,2e+05
2012Q03,Cost of Sales,Hot Blanket,,,1234.2,12000
2012Q03,Cost of Sales,Kitty Box,,,8228,30000
2012Q03,Cost of Sales,Maxi Dog,,,14399,15000
2012Q03,Cost of Sales,Muis Huis,,,12342,4000
2012Q03,Cost of Sales,Water Jug,,,82.28,180000
2012Q03,EXPENSES,Adminstrative,Depreciation,,4.8e+07,
2012Q03,EXPENSES,Adminstrative,Insurance,,10400000,
2012Q03,EXPENSES,Adminstrative,Meals and entertainment,,240000,
2012Q03,EXPENSES,Adminstrative,Outside services,,1.2e+07,
2012Q03,EXPENSES,Adminstrative,Rent,,80000,
2012Q03,EXPENSES,Adminstrative,Repairs and maintence,,6400000,
2012Q03,EXPENSES,Adminstrative,Supplies,,320000,
2012Q03,EXPENSES,Adminstrative,Telephone,,8e+06,
2012Q03,EXPENSES,Adminstrative,Utilities,,15200000,
2012Q03,EXPENSES,Adminstrative,Wages and salaries,,2.4e+07,
2012Q03,EXPENSES,Adminstrative,Web site consultancy,,320000,
2012Q03,EXPENSES,Adminstrative,Web site launch and Web Hosting,,160000,
2012Q03,EXPENSES,Adminstrative,Web site maintence,,3200,
2012Q03,EXPENSES,Development,Patents,,48000,
2012Q03,EXPENSES,Development,Technology Rental,,240000,
2012Q03,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,192000,
2012Q03,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,19200000,
2012Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,320000,
2012Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,24000,
2012Q03,Non-Operation Income,Gifts and Dotions,,,16000,
2012Q03,Non-Operation Income,Interest,,,48000,
2012Q03,Non-Operation Income,Other Income,,,560,
2012Q03,Non-Operation Income,Rental,,,640000,
2012Q03,Sales Revenue,Hot Blanket,,,16266,20000
2012Q03,Sales Revenue,Kitty Box,,,60997.5,30000
2012Q03,Sales Revenue,Maxi Dog,,,81330,20000
2012Q03,Sales Revenue,Muis Huis,,,243990,5000
2012Q03,Sales Revenue,Water Jug,,,406.65,2e+05
2012Q02,Cost of Sales,Hot Blanket,,,2172.9,12000
2012Q02,Cost of Sales,Kitty Box,,,14486,30000
2012Q02,Cost of Sales,Maxi Dog,,,25350.5,15000
2012Q02,Cost of Sales,Muis Huis,,,21729,4000
2012Q02,Cost of Sales,Water Jug,,,144.86,180000
2012Q02,EXPENSES,Adminstrative,Depreciation,,1.02e+08,
2012Q02,EXPENSES,Adminstrative,Insurance,,22100000,
2012Q02,EXPENSES,Adminstrative,Meals and entertainment,,510000,
2012Q02,EXPENSES,Adminstrative,Outside services,,25500000,
2012Q02,EXPENSES,Adminstrative,Rent,,170000,
2012Q02,EXPENSES,Adminstrative,Repairs and maintence,,13600000,
2012Q02,EXPENSES,Adminstrative,Supplies,,680000,
2012Q02,EXPENSES,Adminstrative,Telephone,,1.7e+07,
2012Q02,EXPENSES,Adminstrative,Utilities,,32300000,
2012Q02,EXPENSES,Adminstrative,Wages and salaries,,5.1e+07,
2012Q02,EXPENSES,Adminstrative,Web site consultancy,,680000,
2012Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,,340000,
2012Q02,EXPENSES,Adminstrative,Web site maintence,,6800,
2012Q02,EXPENSES,Development,Patents,,102000,
2012Q02,EXPENSES,Development,Technology Rental,,510000,
2012Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,408000,
2012Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,40800000,
2012Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,680000,
2012Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,51000,
2012Q02,Non-Operation Income,Gifts and Dotions,,,34000,
2012Q02,Non-Operation Income,Interest,,,102000,
2012Q02,Non-Operation Income,Other Income,,,1190,
2012Q02,Non-Operation Income,Rental,,,1360000,
2012Q02,Sales Revenue,Hot Blanket,,,5716,20000
2012Q02,Sales Revenue,Kitty Box,,,21435,30000
2012Q02,Sales Revenue,Maxi Dog,,,28580,20000
2012Q02,Sales Revenue,Muis Huis,,,85740,5000
2012Q02,Sales Revenue,Water Jug,,,142.9,2e+05
2012Q01,Cost of Sales,Hot Blanket,,,318,12000
2012Q01,Cost of Sales,Kitty Box,,,2120,30000
2012Q01,Cost of Sales,Maxi Dog,,,3710,15000
2012Q01,Cost of Sales,Muis Huis,,,3180,4000
2012Q01,Cost of Sales,Water Jug,,,21.2,180000
2012Q01,EXPENSES,Adminstrative,Depreciation,,1.47e+08,
2012Q01,EXPENSES,Adminstrative,Insurance,,31850000,
2012Q01,EXPENSES,Adminstrative,Meals and entertainment,,735000,
2012Q01,EXPENSES,Adminstrative,Outside services,,36750000,
2012Q01,EXPENSES,Adminstrative,Rent,,245000,
2012Q01,EXPENSES,Adminstrative,Repairs and maintence,,19600000,
2012Q01,EXPENSES,Adminstrative,Supplies,,980000,
2012Q01,EXPENSES,Adminstrative,Telephone,,24500000,
2012Q01,EXPENSES,Adminstrative,Utilities,,46550000,
2012Q01,EXPENSES,Adminstrative,Wages and salaries,,73500000,
2012Q01,EXPENSES,Adminstrative,Web site consultancy,,980000,
2012Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,,490000,
2012Q01,EXPENSES,Adminstrative,Web site maintence,,9800,
2012Q01,EXPENSES,Development,Patents,,147000,
2012Q01,EXPENSES,Development,Technology Rental,,735000,
2012Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,588000,
2012Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,58800000,
2012Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,980000,
2012Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,73500,
2012Q01,Non-Operation Income,Gifts and Dotions,,,49000,
2012Q01,Non-Operation Income,Interest,,,147000,
2012Q01,Non-Operation Income,Other Income,,,1715,
2012Q01,Non-Operation Income,Rental,,,1960000,
2012Q01,Sales Revenue,Hot Blanket,,,38756,20000
2012Q01,Sales Revenue,Kitty Box,,,145335,30000
2012Q01,Sales Revenue,Maxi Dog,,,193780,20000
2012Q01,Sales Revenue,Muis Huis,,,581340,5000
2012Q01,Sales Revenue,Water Jug,,,968.9,2e+05
2011Q04,Cost of Sales,Hot Blanket,,,954.3,12000
2011Q04,Cost of Sales,Kitty Box,,,6362,30000
2011Q04,Cost of Sales,Maxi Dog,,,11133.5,15000
2011Q04,Cost of Sales,Muis Huis,,,9543,4000
2011Q04,Cost of Sales,Water Jug,,,63.62,180000
2011Q04,EXPENSES,Adminstrative,Depreciation,,3e+07,
2011Q04,EXPENSES,Adminstrative,Insurance,,6500000,
2011Q04,EXPENSES,Adminstrative,Meals and entertainment,,150000,
2011Q04,EXPENSES,Adminstrative,Outside services,,7500000,
2011Q04,EXPENSES,Adminstrative,Rent,,50000,
2011Q04,EXPENSES,Adminstrative,Repairs and maintence,,4e+06,
2011Q04,EXPENSES,Adminstrative,Supplies,,2e+05,
2011Q04,EXPENSES,Adminstrative,Telephone,,5e+06,
2011Q04,EXPENSES,Adminstrative,Utilities,,9500000,
2011Q04,EXPENSES,Adminstrative,Wages and salaries,,1.5e+07,
2011Q04,EXPENSES,Adminstrative,Web site consultancy,,2e+05,
2011Q04,EXPENSES,Adminstrative,Web site launch and Web Hosting,,1e+05,
2011Q04,EXPENSES,Adminstrative,Web site maintence,,2000,
2011Q04,EXPENSES,Development,Patents,,30000,
2011Q04,EXPENSES,Development,Technology Rental,,150000,
2011Q04,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,120000,
2011Q04,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,1.2e+07,
2011Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,2e+05,
2011Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,15000,
2011Q04,Non-Operation Income,Gifts and Dotions,,,10000,
2011Q04,Non-Operation Income,Interest,,,30000,
2011Q04,Non-Operation Income,Other Income,,,350,
2011Q04,Non-Operation Income,Rental,,,4e+05,
2011Q04,Sales Revenue,Hot Blanket,,,23728,20000
2011Q04,Sales Revenue,Kitty Box,,,88980,30000
2011Q04,Sales Revenue,Maxi Dog,,,118640,20000
2011Q04,Sales Revenue,Muis Huis,,,355920,5000
2011Q04,Sales Revenue,Water Jug,,,593.2,2e+05
2011Q03,Cost of Sales,Hot Blanket,,,2817.6,12000
2011Q03,Cost of Sales,Kitty Box,,,18784,30000
2011Q03,Cost of Sales,Maxi Dog,,,32872,15000
2011Q03,Cost of Sales,Muis Huis,,,28176,4000
2011Q03,Cost of Sales,Water Jug,,,187.84,180000
2011Q03,EXPENSES,Adminstrative,Depreciation,,3e+06,
2011Q03,EXPENSES,Adminstrative,Insurance,,650000,
2011Q03,EXPENSES,Adminstrative,Meals and entertainment,,15000,
2011Q03,EXPENSES,Adminstrative,Outside services,,750000,
2011Q03,EXPENSES,Adminstrative,Rent,,5000,
2011Q03,EXPENSES,Adminstrative,Repairs and maintence,,4e+05,
2011Q03,EXPENSES,Adminstrative,Supplies,,20000,
2011Q03,EXPENSES,Adminstrative,Telephone,,5e+05,
2011Q03,EXPENSES,Adminstrative,Utilities,,950000,
2011Q03,EXPENSES,Adminstrative,Wages and salaries,,1500000,
2011Q03,EXPENSES,Adminstrative,Web site consultancy,,20000,
2011Q03,EXPENSES,Adminstrative,Web site launch and Web Hosting,,10000,
2011Q03,EXPENSES,Adminstrative,Web site maintence,,200,
2011Q03,EXPENSES,Development,Patents,,3000,
2011Q03,EXPENSES,Development,Technology Rental,,15000,
2011Q03,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,12000,
2011Q03,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,1200000,
2011Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,20000,
2011Q03,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,1500,
2011Q03,Non-Operation Income,Gifts and Dotions,,,1000,
2011Q03,Non-Operation Income,Interest,,,3000,
2011Q03,Non-Operation Income,Other Income,,,35,
2011Q03,Non-Operation Income,Rental,,,40000,
2011Q03,Sales Revenue,Hot Blanket,,,19328,20000
2011Q03,Sales Revenue,Kitty Box,,,72480,30000
2011Q03,Sales Revenue,Maxi Dog,,,96640,20000
2011Q03,Sales Revenue,Muis Huis,,,289920,5000
2011Q03,Sales Revenue,Water Jug,,,483.2,2e+05
2011Q02,Cost of Sales,Hot Blanket,,,607.2,12000
2011Q02,Cost of Sales,Kitty Box,,,4048,30000
2011Q02,Cost of Sales,Maxi Dog,,,7084,15000
2011Q02,Cost of Sales,Muis Huis,,,6072,4000
2011Q02,Cost of Sales,Water Jug,,,40.48,180000
2011Q02,EXPENSES,Adminstrative,Depreciation,,1.35e+08,
2011Q02,EXPENSES,Adminstrative,Insurance,,29250000,
2011Q02,EXPENSES,Adminstrative,Meals and entertainment,,675000,
2011Q02,EXPENSES,Adminstrative,Outside services,,33750000,
2011Q02,EXPENSES,Adminstrative,Rent,,225000,
2011Q02,EXPENSES,Adminstrative,Repairs and maintence,,1.8e+07,
2011Q02,EXPENSES,Adminstrative,Supplies,,9e+05,
2011Q02,EXPENSES,Adminstrative,Telephone,,22500000,
2011Q02,EXPENSES,Adminstrative,Utilities,,42750000,
2011Q02,EXPENSES,Adminstrative,Wages and salaries,,67500000,
2011Q02,EXPENSES,Adminstrative,Web site consultancy,,9e+05,
2011Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,,450000,
2011Q02,EXPENSES,Adminstrative,Web site maintence,,9000,
2011Q02,EXPENSES,Development,Patents,,135000,
2011Q02,EXPENSES,Development,Technology Rental,,675000,
2011Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,540000,
2011Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,5.4e+07,
2011Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,9e+05,
2011Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,67500,
2011Q02,Non-Operation Income,Gifts and Dotions,,,45000,
2011Q02,Non-Operation Income,Interest,,,135000,
2011Q02,Non-Operation Income,Other Income,,,1575,
2011Q02,Non-Operation Income,Rental,,,1800000,
2011Q02,Sales Revenue,Hot Blanket,,,6604,20000
2011Q02,Sales Revenue,Kitty Box,,,24765,30000
2011Q02,Sales Revenue,Maxi Dog,,,33020,20000
2011Q02,Sales Revenue,Muis Huis,,,99060,5000
2011Q02,Sales Revenue,Water Jug,,,165.1,2e+05
2011Q01,Cost of Sales,Hot Blanket,,,1089,12000
2011Q01,Cost of Sales,Kitty Box,,,7260,30000
2011Q01,Cost of Sales,Maxi Dog,,,12705,15000
2011Q01,Cost of Sales,Muis Huis,,,10890,4000
2011Q01,Cost of Sales,Water Jug,,,72.6,180000
2011Q01,EXPENSES,Adminstrative,Depreciation,,1.5e+07,
2011Q01,EXPENSES,Adminstrative,Insurance,,3250000,
2011Q01,EXPENSES,Adminstrative,Meals and entertainment,,75000,
2011Q01,EXPENSES,Adminstrative,Outside services,,3750000,
2011Q01,EXPENSES,Adminstrative,Rent,,25000,
2011Q01,EXPENSES,Adminstrative,Repairs and maintence,,2e+06,
2011Q01,EXPENSES,Adminstrative,Supplies,,1e+05,
2011Q01,EXPENSES,Adminstrative,Telephone,,2500000,
2011Q01,EXPENSES,Adminstrative,Utilities,,4750000,
2011Q01,EXPENSES,Adminstrative,Wages and salaries,,7500000,
2011Q01,EXPENSES,Adminstrative,Web site consultancy,,1e+05,
2011Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,,50000,
2011Q01,EXPENSES,Adminstrative,Web site maintence,,1000,
2011Q01,EXPENSES,Development,Patents,,15000,
2011Q01,EXPENSES,Development,Technology Rental,,75000,
2011Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,60000,
2011Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,6e+06,
2011Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,1e+05,
2011Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,7500,
2011Q01,Non-Operation Income,Gifts and Dotions,,,5000,
2011Q01,Non-Operation Income,Interest,,,15000,
2011Q01,Non-Operation Income,Other Income,,,175,
2011Q01,Non-Operation Income,Rental,,,2e+05,
2011Q01,Sales Revenue,Hot Blanket,,,3356,20000
2011Q01,Sales Revenue,Kitty Box,,,12585,30000
2011Q01,Sales Revenue,Maxi Dog,,,16780,20000
2011Q01,Sales Revenue,Muis Huis,,,50340,5000
2011Q01,Sales Revenue,Water Jug,,,83.9,2e+05
2010Q04,Cost of Sales,Hot Blanket,,,347.1,12000
2010Q04,Cost of Sales,Kitty Box,,,2314,30000
2010Q04,Cost of Sales,Maxi Dog,,,4049.5,15000
2010Q04,Cost of Sales,Muis Huis,,,3471,4000
2010Q04,Cost of Sales,Water Jug,,,23.14,180000
2010Q04,EXPENSES,Adminstrative,Depreciation,,2.7e+07,
2010Q04,EXPENSES,Adminstrative,Insurance,,5850000,
2010Q04,EXPENSES,Adminstrative,Meals and entertainment,,135000,
2010Q04,EXPENSES,Adminstrative,Outside services,,6750000,
2010Q04,EXPENSES,Adminstrative,Rent,,45000,
2010Q04,EXPENSES,Adminstrative,Repairs and maintence,,3600000,
2010Q04,EXPENSES,Adminstrative,Supplies,,180000,
2010Q04,EXPENSES,Adminstrative,Telephone,,4500000,
